Elevation,topography,group,plant.community,average.temp.warm.quarter,lat,long,species.richness,n,fishers.alpha,shannon.diversity
1790,convergent,Low elev.,o.p,21.32110842,32.37168,-110.69043,11,189,2.545934703,1.766702229
1790,divergent,Low elev.,o.p,21.32110842,32.37168,-110.69043,13,276,2.832620196,2.309804388
1809,convergent,Low elev.,o.p,21.28717568,32.37406,-110.6892,6,70,1.571136384,1.252318898
1809,divergent,Low elev.,o.p,21.28717568,32.37406,-110.6892,9,320,1.720487965,1.55187895
2119,convergent,Low elev.,o.p,19.86062272,32.3849,-110.69351,7,227,1.367784572,1.625229182
2119,divergent,Low elev.,o.p,19.86062272,32.3849,-110.69351,14,387,2.845527804,2.347555088
2170,convergent,Low elev.,o.p,19.42297029,32.39001,-110.69557,10,238,2.112781294,1.841396066
2170,divergent,Low elev.,o.p,19.42297029,32.39001,-110.69557,12,459,2.255368565,2.05310023
2201,convergent,Low elev.,p,18.64670493,32.39421,-110.69052,18,844,3.232306975,2.289305204
2201,divergent,Low elev.,p,18.64670493,32.39421,-110.69052,21,1219,3.604123815,2.775009341
2343,convergent,High elev.,p.f,17.72402374,32.43649,-110.75956,14,413,2.799591849,2.255997997
2343,divergent,High elev.,p.f,17.72402374,32.43649,-110.75956,17,375,3.665653264,2.566224988
2352,convergent,High elev.,p,17.87608429,32.42673,-110.74444,7,94,1.748770526,1.840217405
2352,divergent,High elev.,p,17.87608429,32.42673,-110.74444,14,486,2.691454163,2.023392867
2370,convergent,High elev.,p.f,18.52442701,32.42961,-110.73986,18,783,3.286099607,2.593766686
2370,divergent,High elev.,p.f,18.52442701,32.42961,-110.73986,21,735,4.029376425,2.124080505
2421,convergent,High elev.,p.f,18.25364365,32.42644,-110.73726,8,261,1.560910686,1.698351177
2421,divergent,High elev.,p.f,18.25364365,32.42644,-110.73726,7,315,1.268380048,1.585410794
2425,convergent,High elev.,p.f.md,17.869886,32.42275,-110.73145,13,438,2.516998805,2.011933151
2425,divergent,High elev.,p.f.md,17.869886,32.42275,-110.73145,12,245,2.643176969,1.99968624