elevation,group,plant.community,average.temp.warm.quarter,lat,long,species.richness,n,fishers.alpha,shannon.index
1790,Low elev.,Pine-oak,21.32110842,32.37168,-110.69043,22,36,24,1.654208942
1809,Low elev.,Pine-oak,21.28717568,32.37406,-110.6892,13,26,10.3636,0.969812604
2119,Low elev.,Pine-oak,19.86062272,32.3849,-110.69351,18,34,15.635,1.439730581
2170,Low elev.,Pine-oak,19.42297029,32.39001,-110.69557,21,36,20.7823,1.550215781
2201,Low elev.,Pine,18.64670493,32.39421,-110.69052,36,73,27.8287,2.048482988
2343,High elev.,Pine-Doug fir,17.72402374,32.43649,-110.75956,27,38,42,1.651477177
2352,High elev.,Pine,17.87608429,32.42673,-110.74444,20,35,19.2636,1.549331162
2370,High elev.,Pine-Doug fir,18.52442701,32.42961,-110.73986,38,62,41.3333,1.750854296
2421,High elev.,Pine-Doug fir,18.25364365,32.42644,-110.73726,14,39,7.875,1.276570022
2425,High elev.,Pine-Doug fir-Mixed decid.,17.869886,32.42275,-110.73145,35,58,36.7712,1.058741708