Site,elevation,Topography,group,Plant community,Average temperature warm quarter,Phosphate,OTU1,OTU10,OTU100,OTU101,OTU102,OTU103,OTU104,OTU105,OTU106,OTU107,OTU108,OTU109,OTU11,OTU110,OTU111,OTU112,OTU113,OTU114,OTU115,OTU116,OTU118,OTU119,OTU12,OTU120,OTU121,OTU123,OTU127,OTU128,OTU129,OTU131,OTU132,OTU133,OTU134,OTU135,OTU136,OTU137,OTU138,OTU141,OTU143,OTU144,OTU145,OTU147,OTU148,OTU149,OTU151,OTU152,OTU154,OTU155,OTU156,OTU17,OTU2,OTU21,OTU23,OTU24,OTU25,OTU27,OTU29,OTU3,OTU30,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU4,OTU40,OTU41,OTU43,OTU45,OTU46,OTU47,OTU5,OTU50,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU6,OTU60,OTU61,OTU62,OTU63,OTU65,OTU67,OTU68,OTU69,OTU7,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU77,OTU78,OTU79,OTU8,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU9,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU99
Middle Bear,1790,Convergent,Low elev.,Pinus-Quercus,21.32110842,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,0,0,17,96,0,0,0,0,3,0,0,0,0,0,7,10,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Bear,1790,Divergent,Low elev.,Pinus-Quercus,21.32110842,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,25,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,35,0,0,0,0,12,56,21,5,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Mountain/Bug Springs,1809,Convergent,Low elev.,Pinus-Quercus,21.32110842,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,0,0,0,0,0,6,0,0,0,0,0,0,0
Green Mountain/Bug Springs,1809,Divergent,Low elev.,Pinus-Quercus,21.32110842,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,23,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0
Pullout south of Willow Canyon Rd.,2119,Convergent,Low elev.,Pinus-Quercus,19.86062272,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Pullout south of Willow Canyon Rd.,2119,Divergent,Low elev.,Pinus-Quercus,19.86062272,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,39,11,78,13,71,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pullout south of Rose Canyon Rd.,2170,Convergent,Low elev.,Pinus-Quercus,19.42297029,6.2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,73,8,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pullout south of Rose Canyon Rd.,2170,Divergent,Low elev.,Pinus-Quercus,19.42297029,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,138,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,14,3,0,29,0,0,0,0,0,0,0,80,21,0,23,0,0,0,0,0,0,0,0
Rose Canyon Rd.,2201,Convergent,Low elev.,Pinus,18.64670493,6.5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,29,0,26,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,50,0,14,0,0,0,0,0,0,0,0,0,0,87,282,80,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,0,0,0,0,79,0,1,0,0,0,0,0,0,0
Rose Canyon Rd.,2201,Divergent,Low elev.,Pinus,18.64670493,5.2,0,0,0,0,27,0,0,0,0,0,0,0,0,59,0,0,0,21,0,0,0,0,0,0,0,0,0,0,103,6,151,23,0,0,0,0,46,0,21,48,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,54,0,0,0,0,0,0,0,0,40,94,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,11,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,54,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,106,0,0,0
Marshall Gulch,2343,Convergent,High elev.,Pinus-Pseudotsuga,17.72402374,84,0,0,0,0,0,26,47,3,79,6,0,0,0,0,0,0,51,11,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Gulch,2343,Divergent,High elev.,Pinus-Pseudotsuga,17.72402374,35.5,0,0,0,0,30,0,48,15,4,0,25,20,0,5,7,11,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
Sunset Trail,2352,Convergent,High elev.,Pinus,17.87608429,12,0,0,20,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0
Sunset Trail,2352,Divergent,High elev.,Pinus,17.87608429,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,9,15,6,5,46
Butterfly Trail,2370,Convergent,High elev.,Pinus-Pseudotsuga,18.52442701,29.5,0,52,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,69,39,0,0,0,0,25,106,7,14,32,101,4,0,0,0,0,0,12,33,0,94,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butterfly Trail,2370,Divergent,High elev.,Pinus-Pseudotsuga,18.52442701,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,16,0,30,0,0,55,0,0,0,0,0,0,1,8,0,75,7,6,14,0,0,18,0,8,14,0,0,3,0,0,315,18,14,7,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Solders Camp Rd.,2421,Convergent,High elev.,Pinus-Pseudotsuga,18.25364365,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,78,28,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Solders Camp Rd.,2421,Divergent,High elev.,Pinus-Pseudotsuga,18.25364365,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,39,0,0,54,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Wallow,2425,Convergent,High elev.,Pinus-Pseudotsuga-Mixed,17.869886,9.675,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,73,0,0,0,133,0,0,0,0,0,0,68,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bear Wallow,2425,Divergent,High elev.,Pinus-Pseudotsuga-Mixed,17.869886,7.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,4,68,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0