elevation,group,plant.community,average.temp.warm.quarter,lat,long,n,s,fishers_alpha,shannon_index
1790,Low elev.,o.p,21.32110842,32.37168,-110.69043,82,7,2.016393443,0.59149884
1809,Low elev.,o.p,21.28717568,32.37406,-110.6892,77,8,2.136690647,0.574026373
2119,Low elev.,o.p,19.86062272,32.3849,-110.69351,13,9,12.79365079,0.452659285
2170,Low elev.,o.p,19.42297029,32.39001,-110.69557,40,12,5.977011494,0.988220747
2201,Low elev.,p,18.64670493,32.39421,-110.69052,45,9,3.387096774,0.841401026
2343,High elev.,p.f,17.72402374,32.43649,-110.75956,38,6,2.042149631,0.561122971
2352,High elev.,p,17.87608429,32.42673,-110.74444,26,12,8.620505992,1.0591121
2370,High elev.,p.f,18.52442701,32.42961,-110.73986,26,9,4.989272944,0.646351788
2421,High elev.,p.f,18.25364365,32.42644,-110.73726,15,9,9.509803922,0.342385363
2425,High elev.,p.f.md,17.869886,32.42275,-110.73145,57,15,6.509749304,1.170170682