elevation,tree_number,species,ph.su,EC.ds.m,ca.ppm,mg.ppm,na.ppm,k.ppm,zn.ppm,fe.ppm,mn.ppm,cu.ppm,ni.ppm,po4.p.ppm,so4.s.ppm,b.ppm,esp,cec.meq.100g,topography,group,northing,easting,zone,plant.comm,annual.prec.cm,average.temp.warm.quarter,average.temp.cold.quarter
1790,LB013,Pinus ponderosa,4.3,0.1,410,90,7.9,51,3.7,200,38,0.92,0.11,4,18,0.31,1.2,3,Convergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB014,Pinus ponderosa,4.5,0.17,220,54,7.8,37,2.8,57,8.7,0.39,0.03,6.2,19,0.16,2,1.7,Divergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB015,Pinus ponderosa,5.7,0.03,250,52,7.2,46,2.3,20,6.9,0.31,0.01,5.8,17,0.13,1.7,1.8,Divergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB016,Pinus ponderosa,4.3,0.1,410,90,7.9,51,3.7,200,38,0.92,0.11,4,18,0.31,1.2,3,Convergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB017,Pinus ponderosa,4.3,0.1,410,90,7.9,51,3.7,200,38,0.92,0.11,4,18,0.31,1.2,3,Convergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB018,Pinus ponderosa,5.1,0.1,235,53,7.5,41.5,2.55,38.5,7.8,0.35,0.02,6,18,0.145,1.85,1.75,Divergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1809,LB025,Pinus ponderosa,6,0.02,160,38,6.5,4.8,2.4,6.8,5.9,0.38,0.01,4,18,0.04,2.4,1.2,Convergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB026,Pinus ponderosa,6,0.02,160,38,6.5,4.8,2.4,6.8,5.9,0.38,0.01,4,18,0.04,2.4,1.2,Convergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB027,Pinus ponderosa,6,0.02,160,38,6.5,4.8,2.4,6.8,5.9,0.38,0.01,4,18,0.04,2.4,1.2,Convergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB028,Pinus ponderosa,5.7,0.07,650,150,14,150,2.5,26,35,0.99,0.06,6.3,17,0.48,1.2,4.9,Divergent,Low elev.,3581941,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB029,Pinus ponderosa,6,0.09,765,104,12.5,109.5,3,37,35.5,2.095,0.135,6.3,8.5,0.38,1.05,5,Divergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB030,Pinus ponderosa,6.3,0.11,880,58,11,69,3.5,48,36,3.2,0.21,6.3,0,0.28,0.9,5.1,Divergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
2119,LB062,Pinus ponderosa,5.8,0.03,340,50,7.9,27,2,24,7.6,0.89,0.08,6.3,18,0.14,1.5,2.2,Convergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB063,Pinus ponderosa,5.8,0.03,340,50,7.9,27,2,24,7.6,0.89,0.08,6.3,18,0.14,1.5,2.2,Convergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB064,Pinus ponderosa,4,0.19,130,33,8.8,46,1.6,97,5.3,0.81,0.07,7.8,26,0.21,3.5,1.1,Divergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB065,Pinus ponderosa,4.8,0.21,350,50,12.4,78,3.25,98.5,19.65,4.355,0.135,21.9,13.95,0.245,2.7,2.45,Divergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB066,Pinus ponderosa,5.6,0.23,570,67,16,110,4.9,100,34,7.9,0.2,36,1.9,0.28,1.9,3.8,Divergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2170,LB019,Pinus ponderosa,5.25,0.065,440,51,10.4,54.5,5.45,56.5,59.5,3.96,0.11,10.3,11.4,0.28,1.7,2.8,Divergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB020,Pinus ponderosa,5.4,0.09,650,65,14,74,8.4,71,89,7,0.18,14,4.8,0.36,1.5,4,Divergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB021,Pinus ponderosa,5.2,0.05,250,37,9.2,63,2,78,12,0.76,0.05,6.2,21,0.17,2.3,1.8,Convergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB023,Pinus ponderosa,5.2,0.05,250,37,9.2,63,2,78,12,0.76,0.05,6.2,21,0.17,2.3,1.8,Convergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB024,Pinus ponderosa,5.1,0.04,230,37,6.8,35,2.5,42,30,0.92,0.04,6.6,18,0.2,1.9,1.6,Divergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2201,LB055,Pinus ponderosa,5.2,0.08,270,39,8.2,93,1.2,67,16,0.72,0.07,6.5,19,0.2,1.8,1.9,Convergent,Low elev.,3584174.4,529106.3,12,p,712.1216163,18.64670493,3.300723584
2201,LB056,Pinus ponderosa,4.95,0.035,360,52.5,8.2,68,3.2,68,30,1.19,0.08,5.2,19,0.295,1.45,2.45,Divergent,Low elev.,3584174.4,529106.3,12,p,712.1216163,18.64670493,3.300723584
2201,LB057,Pinus ponderosa,4.8,0.04,300,44,6.4,46,2,65,24,0.98,0.06,4,19,0.27,1.4,2,Divergent,Low elev.,3584174.4,529106.3,12,p,712.1216163,18.64670493,3.300723584
2201,LB058,Pinus ponderosa,5.2,0.08,270,39,8.2,93,1.2,67,16,0.72,0.07,6.5,19,0.2,1.8,1.9,Convergent,Low elev.,3584174.4,529106.3,12,p,712.1216163,18.64670493,3.300723584
2201,LB059,Pinus ponderosa,5.1,0.03,420,61,10,90,4.4,71,36,1.4,0.1,6.4,19,0.32,1.5,2.9,Divergent,Low elev.,3584174.4,529106.3,12,p,712.1216163,18.64670493,3.300723584
2201,LB060,Pinus ponderosa,5.2,0.08,270,39,8.2,93,1.2,67,16,0.72,0.07,6.5,19,0.2,1.8,1.9,Convergent,Low elev.,3584174.4,529106.3,12,p,712.1216163,18.64670493,3.300723584
2343,LB037,Pinus ponderosa,5.6,0.14,1200,220,16,140,3.8,89,24,5.7,0.2,84,1.9,0.4,0.8,8.3,Convergent,High elev.,3588844.4,522602.6,12,p.f,755.0888877,17.72402374,2.615471872
2343,LB038,Pinus ponderosa,5.6,0.14,1200,220,16,140,3.8,89,24,5.7,0.2,84,1.9,0.4,0.8,8.3,Convergent,High elev.,3588844.4,522602.6,12,p.f,755.0888877,17.72402374,2.615471872
2343,LB039,Pinus ponderosa,5.4,0.12,890,150,10,180,1.9,100,29,1.7,0.25,38,18,0.38,0.7,6.2,Divergent,High elev.,3588844.4,522602.6,12,p.f,755.0888877,17.72402374,2.615471872
2343,LB040,Pinus ponderosa,5.6,0.06,830,170,12,210,1.3,64,10,1.4,0.13,33,17,0.32,0.8,6.2,Divergent,High elev.,3588844.4,522602.6,12,p.f,755.0888877,17.72402374,2.615471872
2343,LB041,Pinus ponderosa,5.5,0.09,860,160,11,195,1.6,82,19.5,1.55,0.19,35.5,17.5,0.35,0.75,6.2,Divergent,High elev.,3588844.4,522602.6,12,p.f,755.0888877,17.72402374,2.615471872
2343,LB042,Pinus ponderosa,5.6,0.14,1200,220,16,140,3.8,89,24,5.7,0.2,84,1.9,0.4,0.8,8.3,Convergent,High elev.,3588844.4,522602.6,12,p.f,755.0888877,17.72402374,2.615471872
2352,LB031,Pinus ponderosa,5.6,0.21,760,120,12,190,31,130,36,9.7,0.48,51,8.7,0.6,1,5.3,Divergent,High elev.,3587765.8,524026.6,12,p,745.8734285,17.87608429,2.776773216
2352,LB032,Pinus ponderosa,5.2,0.1,530,91,14,170,2,97,52,3.3,0.27,24,19,0.28,1.6,3.9,Divergent,High elev.,3587765.8,524026.6,12,p,745.8734285,17.87608429,2.776773216
2352,LB033,Pinus ponderosa,5.4,0.155,645,105.5,13,180,16.5,113.5,44,6.5,0.375,37.5,13.85,0.44,1.3,4.6,Divergent,High elev.,3587765.8,524026.6,12,p,745.8734285,17.87608429,2.776773216
2352,LB034,Pinus ponderosa,6,0.13,1400,260,29,160,5.8,110,18,9.8,1.3,12,17,0.53,1.3,9.7,Convergent,High elev.,3587765.8,524026.6,12,p,745.8734285,17.87608429,2.776773216
2352,LB035,Pinus ponderosa,6,0.13,1400,260,29,160,5.8,110,18,9.8,1.3,12,17,0.53,1.3,9.7,Convergent,High elev.,3587765.8,524026.6,12,p,745.8734285,17.87608429,2.776773216
2370,LB007,Pinus ponderosa,5.3,0.19,1140,160,18,150,2.6,185,47.5,6.35,0.685,29.5,11.55,0.54,1.05,7.5,Convergent,High elev.,3588086.1,524456.4,12,p.f,722.4313184,18.52442701,3.254467008
2370,LB008,Pinus ponderosa,6.7,0.03,2700,160,6.8,260,2,59,20,3.5,0.22,10,22,1.1,0.2,15.5,Divergent,High elev.,3588086.1,524456.4,12,p.f,722.4313184,18.52442701,3.254467008
2370,LB009,Pinus ponderosa,5.1,0.19,980,160,18,120,1.8,170,48,2.8,0.7,29,21,0.43,1.2,6.6,Convergent,High elev.,3588086.1,524456.4,12,p.f,722.4313184,18.52442701,3.254467008
2370,LB010,Pinus ponderosa,5.5,0.19,1300,160,18,180,3.4,200,47,9.9,0.67,30,2.1,0.65,0.9,8.4,Convergent,High elev.,3588086.1,524456.4,12,p.f,722.4313184,18.52442701,3.254467008
2370,LB011,Pinus ponderosa,6.7,0.03,2700,160,6.8,260,2,59,20,3.5,0.22,10,22,1.1,0.2,15.5,Divergent,High elev.,3588086.1,524456.4,12,p.f,722.4313184,18.52442701,3.254467008
2370,LB012,Pinus ponderosa,6.7,0.03,2700,160,6.8,260,2,59,20,3.5,0.22,10,22,1.1,0.2,15.5,Divergent,High elev.,3588086.1,524456.4,12,p.f,722.4313184,18.52442701,3.254467008
2370,LB012 adjacent,Pinus ponderosa,6.7,0.03,2700,160,6.8,260,2,59,20,3.5,0.22,10,22,1.1,0.2,15.5,Divergent,High elev.,3588086.1,524456.4,12,p.f,722.4313184,18.52442701,3.254467008
2421,LB043,Pinus ponderosa,5.5,0.1,910,190,15,260,2,54,33,2.7,0.3,6.2,16,0.69,0.9,6.9,Divergent,High elev.,3587735.3,524701.7,12,p.f,733.171584,18.25364365,3.014212992
2421,LB044,Pinus ponderosa,5.4,0,1100,150,9.3,260,2.2,82,45,5.1,0.38,6.2,21,0.89,0.5,7.5,Convergent,High elev.,3587735.3,524701.7,12,p.f,733.171584,18.25364365,3.014212992
2421,LB045,Pinus ponderosa,5.1,0.17,1000,130,19,260,3.8,130,61,5.6,0.54,6.2,29,0.69,1.2,6.8,Convergent,High elev.,3587735.3,524701.7,12,p.f,733.171584,18.25364365,3.014212992
2421,LB046,Pinus ponderosa,5.25,0.085,1050,140,14.15,260,3,106,53,5.35,0.46,6.2,25,0.79,0.85,7.15,Convergent,High elev.,3587735.3,524701.7,12,p.f,733.171584,18.25364365,3.014212992
2421,LB047,Pinus ponderosa,5.5,0.1,910,190,15,260,2,54,33,2.7,0.3,6.2,16,0.69,0.9,6.9,Divergent,High elev.,3587735.3,524701.7,12,p.f,733.171584,18.25364365,3.014212992
2421,LB048,Pinus ponderosa,5.5,0.1,910,190,15,260,2,54,33,2.7,0.3,6.2,16,0.69,0.9,6.9,Divergent,High elev.,3587735.3,524701.7,12,p.f,733.171584,18.25364365,3.014212992
2425,LB004,Pinus ponderosa,5.4,0.105,1150,115.5,10,170,4.45,119,49,3.35,0.395,7.5,20.5,0.58,0.65,7.15,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB005,Pinus ponderosa,5.4,0.105,1150,115.5,10,170,4.45,119,49,3.35,0.395,7.5,20.5,0.58,0.65,7.15,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB006,Pinus ponderosa,4.6,0.1,700,91,10,130,4.8,150,66,4.4,0.47,7.2,23,0.52,0.9,4.6,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB049,Pinus ponderosa,5.4,0.105,1150,115.5,10,170,4.45,119,49,3.35,0.395,7.5,20.5,0.58,0.65,7.15,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB050,Pinus ponderosa,5.4,0.105,1150,115.5,10,170,4.45,119,49,3.35,0.395,7.5,20.5,0.58,0.65,7.15,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB051,Pinus ponderosa,5.4,0.105,1150,115.5,10,170,4.45,119,49,3.35,0.395,7.5,20.5,0.58,0.65,7.15,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB052,Pinus ponderosa,4.7,0.06,360,78,10,120,2.6,120,26,2.2,0.27,6.2,18,0.33,1.6,2.8,Convergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB053,Pinus ponderosa,5.3,0.08,650,100,15,120,1.8,70,22,2.3,0.3,6.3,19,0.35,1.5,4.5,Convergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694
2425,LB054,Pinus ponderosa,4.6,0.06,320,56,12,64,2.6,110,19,3.2,0.3,6.2,19,0.3,2.3,2.3,Convergent,High elev.,3587327.6,525248.9,12,p.f.md,745.9875,17.869886,2.729694